"segment", "metadata size", segment_size
tpch_lineitem_1g_sort_idx_OFFLINE_1104/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1105/v3/metadata.properties,10135,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1106/v3/metadata.properties,10144,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1107/v3/metadata.properties,10142,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1108/v3/metadata.properties,10125,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1109/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_110/v3/metadata.properties,10141,80K	
tpch_lineitem_1g_sort_idx_OFFLINE_1110/v3/metadata.properties,10104,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1111/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1112/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1113/v3/metadata.properties,10138,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1114/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1115/v3/metadata.properties,10137,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1116/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1117/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1118/v3/metadata.properties,10144,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1119/v3/metadata.properties,10140,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_111/v3/metadata.properties,10108,80K	
tpch_lineitem_1g_sort_idx_OFFLINE_1120/v3/metadata.properties,10114,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1121/v3/metadata.properties,10102,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1122/v3/metadata.properties,10121,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1123/v3/metadata.properties,10121,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1124/v3/metadata.properties,10119,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1125/v3/metadata.properties,10133,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1126/v3/metadata.properties,10135,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1127/v3/metadata.properties,10100,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1128/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1129/v3/metadata.properties,10117,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_112/v3/metadata.properties,10132,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1130/v3/metadata.properties,10129,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1131/v3/metadata.properties,10093,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1132/v3/metadata.properties,10133,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1133/v3/metadata.properties,10128,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1134/v3/metadata.properties,10116,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1135/v3/metadata.properties,10131,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1136/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1137/v3/metadata.properties,10118,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1138/v3/metadata.properties,10125,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1139/v3/metadata.properties,10154,80K	
tpch_lineitem_1g_sort_idx_OFFLINE_113/v3/metadata.properties,10135,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1140/v3/metadata.properties,10132,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1141/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1142/v3/metadata.properties,10132,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1143/v3/metadata.properties,10103,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1144/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1145/v3/metadata.properties,10142,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1146/v3/metadata.properties,10122,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1147/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1148/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1149/v3/metadata.properties,10110,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_114/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1150/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1151/v3/metadata.properties,10107,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1152/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1153/v3/metadata.properties,10110,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1154/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1155/v3/metadata.properties,10131,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1156/v3/metadata.properties,10116,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1157/v3/metadata.properties,10119,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1158/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1159/v3/metadata.properties,10137,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_115/v3/metadata.properties,10127,80K	
tpch_lineitem_1g_sort_idx_OFFLINE_1160/v3/metadata.properties,10103,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1161/v3/metadata.properties,10114,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1162/v3/metadata.properties,10105,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1163/v3/metadata.properties,10106,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1164/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1165/v3/metadata.properties,10108,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1166/v3/metadata.properties,10136,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1167/v3/metadata.properties,10122,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1168/v3/metadata.properties,10128,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1169/v3/metadata.properties,10143,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_116/v3/metadata.properties,10127,80K	
tpch_lineitem_1g_sort_idx_OFFLINE_1170/v3/metadata.properties,10109,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1171/v3/metadata.properties,10121,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1172/v3/metadata.properties,10111,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1173/v3/metadata.properties,10145,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1174/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1175/v3/metadata.properties,10109,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1176/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1177/v3/metadata.properties,10100,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1178/v3/metadata.properties,10113,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1179/v3/metadata.properties,10124,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_117/v3/metadata.properties,10129,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1180/v3/metadata.properties,10095,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1181/v3/metadata.properties,10099,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1182/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1183/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1184/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1185/v3/metadata.properties,10109,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1186/v3/metadata.properties,10121,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1187/v3/metadata.properties,10150,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1188/v3/metadata.properties,10123,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1189/v3/metadata.properties,10123,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_118/v3/metadata.properties,10129,80K	
tpch_lineitem_1g_sort_idx_OFFLINE_1190/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1191/v3/metadata.properties,10124,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1192/v3/metadata.properties,10125,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1193/v3/metadata.properties,10105,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1194/v3/metadata.properties,10124,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1195/v3/metadata.properties,10134,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1196/v3/metadata.properties,10142,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1197/v3/metadata.properties,10129,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1198/v3/metadata.properties,10113,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1199/v3/metadata.properties,10110,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_119/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_11/v3/metadata.properties,10082,16K	
tpch_lineitem_1g_sort_idx_OFFLINE_1200/v3/metadata.properties,10127,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1201/v3/metadata.properties,10108,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1202/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1203/v3/metadata.properties,10134,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1204/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1205/v3/metadata.properties,10144,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1206/v3/metadata.properties,10151,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1207/v3/metadata.properties,10121,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1208/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1209/v3/metadata.properties,10126,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_120/v3/metadata.properties,10141,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1210/v3/metadata.properties,10128,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1211/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1212/v3/metadata.properties,10110,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1213/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1214/v3/metadata.properties,10127,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1215/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1216/v3/metadata.properties,10104,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1217/v3/metadata.properties,10108,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1218/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1219/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_121/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1220/v3/metadata.properties,10134,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1221/v3/metadata.properties,10116,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1222/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1223/v3/metadata.properties,10122,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1224/v3/metadata.properties,10127,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1225/v3/metadata.properties,10111,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1226/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1227/v3/metadata.properties,10103,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1228/v3/metadata.properties,10113,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1229/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_122/v3/metadata.properties,10143,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1230/v3/metadata.properties,10097,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1231/v3/metadata.properties,10102,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1232/v3/metadata.properties,10134,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1233/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1234/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1235/v3/metadata.properties,10101,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1236/v3/metadata.properties,10120,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1237/v3/metadata.properties,10130,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1238/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1239/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_123/v3/metadata.properties,10134,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1240/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1241/v3/metadata.properties,10142,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1242/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1243/v3/metadata.properties,10100,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1244/v3/metadata.properties,10139,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1245/v3/metadata.properties,10120,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1246/v3/metadata.properties,10151,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1247/v3/metadata.properties,10106,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1248/v3/metadata.properties,10127,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1249/v3/metadata.properties,10107,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_124/v3/metadata.properties,10133,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1250/v3/metadata.properties,10105,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1251/v3/metadata.properties,10131,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1252/v3/metadata.properties,10120,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1253/v3/metadata.properties,10126,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1254/v3/metadata.properties,10115,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1255/v3/metadata.properties,10109,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1256/v3/metadata.properties,10140,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1257/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1258/v3/metadata.properties,10129,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1259/v3/metadata.properties,10131,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_125/v3/metadata.properties,10155,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1260/v3/metadata.properties,10126,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1261/v3/metadata.properties,10110,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1262/v3/metadata.properties,10128,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1263/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1264/v3/metadata.properties,10137,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1265/v3/metadata.properties,10109,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1266/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1267/v3/metadata.properties,10111,84K	
