"segment", "metadata size", segment_size
tpch_lineitem_1g_sort_idx_OFFLINE_2135/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2136/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2137/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2138/v3/metadata.properties,10135,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2139/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_213/v3/metadata.properties,10108,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2140/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2141/v3/metadata.properties,10115,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2142/v3/metadata.properties,10137,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2143/v3/metadata.properties,10121,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2144/v3/metadata.properties,10117,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2145/v3/metadata.properties,10136,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2146/v3/metadata.properties,10136,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2147/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2148/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2149/v3/metadata.properties,10119,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_214/v3/metadata.properties,10110,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2150/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2151/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2152/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2153/v3/metadata.properties,10096,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2154/v3/metadata.properties,10137,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2155/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2156/v3/metadata.properties,10103,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2157/v3/metadata.properties,10101,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2158/v3/metadata.properties,10107,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2159/v3/metadata.properties,10113,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_215/v3/metadata.properties,10103,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2160/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2161/v3/metadata.properties,10107,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2162/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2163/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2164/v3/metadata.properties,10127,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2165/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2166/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2167/v3/metadata.properties,10114,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2168/v3/metadata.properties,10140,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2169/v3/metadata.properties,10129,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_216/v3/metadata.properties,10109,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2170/v3/metadata.properties,10130,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2171/v3/metadata.properties,10140,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2172/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2173/v3/metadata.properties,10141,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2174/v3/metadata.properties,10124,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2175/v3/metadata.properties,10120,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2176/v3/metadata.properties,10139,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2177/v3/metadata.properties,10112,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2178/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2179/v3/metadata.properties,10145,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_217/v3/metadata.properties,10150,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2180/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2181/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2182/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2183/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2184/v3/metadata.properties,10146,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2185/v3/metadata.properties,10135,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2186/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2187/v3/metadata.properties,10134,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2188/v3/metadata.properties,10141,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2189/v3/metadata.properties,10108,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_218/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2190/v3/metadata.properties,10143,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2191/v3/metadata.properties,10133,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2192/v3/metadata.properties,10112,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2193/v3/metadata.properties,10129,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2194/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2195/v3/metadata.properties,10124,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2196/v3/metadata.properties,10146,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2197/v3/metadata.properties,10103,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2198/v3/metadata.properties,10137,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2199/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_219/v3/metadata.properties,10131,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_21/v3/metadata.properties,10081,20K	
tpch_lineitem_1g_sort_idx_OFFLINE_2200/v3/metadata.properties,10126,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2201/v3/metadata.properties,10111,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2202/v3/metadata.properties,10145,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2203/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2204/v3/metadata.properties,10124,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2205/v3/metadata.properties,10110,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2206/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2207/v3/metadata.properties,10131,92K	
tpch_lineitem_1g_sort_idx_OFFLINE_2208/v3/metadata.properties,10153,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2209/v3/metadata.properties,10140,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_220/v3/metadata.properties,10138,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2210/v3/metadata.properties,10139,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2211/v3/metadata.properties,10138,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2212/v3/metadata.properties,10145,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2213/v3/metadata.properties,10097,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2214/v3/metadata.properties,10107,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2215/v3/metadata.properties,10129,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2216/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2217/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2218/v3/metadata.properties,10143,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2219/v3/metadata.properties,10140,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_221/v3/metadata.properties,10116,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2220/v3/metadata.properties,10150,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2221/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2222/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2223/v3/metadata.properties,10130,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2224/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2225/v3/metadata.properties,10108,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2226/v3/metadata.properties,10107,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2227/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2228/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2229/v3/metadata.properties,10130,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_222/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2230/v3/metadata.properties,10110,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2231/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2232/v3/metadata.properties,10130,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2233/v3/metadata.properties,10132,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2234/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2235/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2236/v3/metadata.properties,10129,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2237/v3/metadata.properties,10101,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2238/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2239/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_223/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2240/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2241/v3/metadata.properties,10108,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2242/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2243/v3/metadata.properties,10107,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2244/v3/metadata.properties,10112,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2245/v3/metadata.properties,10137,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2246/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2247/v3/metadata.properties,10129,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2248/v3/metadata.properties,10135,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2249/v3/metadata.properties,10089,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_224/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2250/v3/metadata.properties,10142,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2251/v3/metadata.properties,10133,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2252/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2253/v3/metadata.properties,10141,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2254/v3/metadata.properties,10140,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2255/v3/metadata.properties,10104,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2256/v3/metadata.properties,10139,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2257/v3/metadata.properties,10100,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2258/v3/metadata.properties,10107,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2259/v3/metadata.properties,10138,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_225/v3/metadata.properties,10152,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2260/v3/metadata.properties,10108,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2261/v3/metadata.properties,10114,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2262/v3/metadata.properties,10139,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2263/v3/metadata.properties,10129,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2264/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2265/v3/metadata.properties,10104,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2266/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2267/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2268/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2269/v3/metadata.properties,10138,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_226/v3/metadata.properties,10147,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2270/v3/metadata.properties,10091,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2271/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2272/v3/metadata.properties,10106,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2273/v3/metadata.properties,10127,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2274/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2275/v3/metadata.properties,10115,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2276/v3/metadata.properties,10098,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2277/v3/metadata.properties,10121,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2278/v3/metadata.properties,10127,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2279/v3/metadata.properties,10127,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_227/v3/metadata.properties,10128,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2280/v3/metadata.properties,10107,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2281/v3/metadata.properties,10136,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2282/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2283/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2284/v3/metadata.properties,10101,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2285/v3/metadata.properties,10105,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2286/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2287/v3/metadata.properties,10120,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2288/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2289/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_228/v3/metadata.properties,10136,80K	
tpch_lineitem_1g_sort_idx_OFFLINE_2290/v3/metadata.properties,10112,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2291/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2292/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2293/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2294/v3/metadata.properties,10132,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2295/v3/metadata.properties,10110,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2296/v3/metadata.properties,10114,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2297/v3/metadata.properties,10126,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2298/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2299/v3/metadata.properties,10125,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_229/v3/metadata.properties,10145,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_22/v3/metadata.properties,10073,24K	
tpch_lineitem_1g_sort_idx_OFFLINE_2300/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2301/v3/metadata.properties,10140,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2302/v3/metadata.properties,10129,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2303/v3/metadata.properties,10121,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2304/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2305/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2306/v3/metadata.properties,10146,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2307/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2308/v3/metadata.properties,10097,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2309/v3/metadata.properties,10150,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_230/v3/metadata.properties,10122,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2310/v3/metadata.properties,10112,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2311/v3/metadata.properties,10113,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2312/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2313/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2314/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2315/v3/metadata.properties,10141,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2316/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2317/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2318/v3/metadata.properties,10109,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2319/v3/metadata.properties,10155,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_231/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2320/v3/metadata.properties,10112,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2321/v3/metadata.properties,10104,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2322/v3/metadata.properties,10126,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2323/v3/metadata.properties,10128,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2324/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2325/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2326/v3/metadata.properties,10110,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2327/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2328/v3/metadata.properties,10119,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2329/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_232/v3/metadata.properties,10123,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2330/v3/metadata.properties,10104,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2331/v3/metadata.properties,10116,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2332/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2333/v3/metadata.properties,10105,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2334/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2335/v3/metadata.properties,10118,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2336/v3/metadata.properties,10134,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2337/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2338/v3/metadata.properties,10137,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2339/v3/metadata.properties,10134,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_233/v3/metadata.properties,10148,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2340/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2341/v3/metadata.properties,10110,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2342/v3/metadata.properties,10140,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2343/v3/metadata.properties,10108,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2344/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2345/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2346/v3/metadata.properties,10110,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2347/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2348/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2349/v3/metadata.properties,10110,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_234/v3/metadata.properties,10124,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2350/v3/metadata.properties,10111,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2351/v3/metadata.properties,10104,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2352/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2353/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2354/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2355/v3/metadata.properties,10094,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2356/v3/metadata.properties,10140,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2357/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2358/v3/metadata.properties,10118,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2359/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_235/v3/metadata.properties,10115,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2360/v3/metadata.properties,10141,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2361/v3/metadata.properties,10130,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2362/v3/metadata.properties,10124,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2363/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2364/v3/metadata.properties,10134,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2365/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2366/v3/metadata.properties,10104,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2367/v3/metadata.properties,10108,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2368/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2369/v3/metadata.properties,10145,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_236/v3/metadata.properties,10155,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2370/v3/metadata.properties,10121,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2371/v3/metadata.properties,10127,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2372/v3/metadata.properties,10146,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2373/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2374/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2375/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2376/v3/metadata.properties,10138,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2377/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2378/v3/metadata.properties,10151,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2379/v3/metadata.properties,10133,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_237/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2380/v3/metadata.properties,10121,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2381/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2382/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2383/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2384/v3/metadata.properties,10122,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2385/v3/metadata.properties,10139,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2386/v3/metadata.properties,10123,80K	
tpch_lineitem_1g_sort_idx_OFFLINE_2387/v3/metadata.properties,10135,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2388/v3/metadata.properties,10129,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2389/v3/metadata.properties,10144,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_238/v3/metadata.properties,10141,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2390/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2391/v3/metadata.properties,10114,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2392/v3/metadata.properties,10138,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2393/v3/metadata.properties,10090,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2394/v3/metadata.properties,10104,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2395/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2396/v3/metadata.properties,10133,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2397/v3/metadata.properties,10141,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2398/v3/metadata.properties,10128,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2399/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_239/v3/metadata.properties,10110,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_23/v3/metadata.properties,10092,24K	
tpch_lineitem_1g_sort_idx_OFFLINE_2400/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2401/v3/metadata.properties,10135,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2402/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2403/v3/metadata.properties,10095,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_2404/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2405/v3/metadata.properties,10138,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2406/v3/metadata.properties,10108,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2407/v3/metadata.properties,10121,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2408/v3/metadata.properties,10110,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2409/v3/metadata.properties,10132,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_240/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2410/v3/metadata.properties,10138,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2411/v3/metadata.properties,10132,80K	
tpch_lineitem_1g_sort_idx_OFFLINE_2412/v3/metadata.properties,10106,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2413/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_2414/v3/metadata.properties,10107,80K	
